Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topic,Year
A satellite revolves around Earth in a circular orbit. The centripetal force is provided by:,Gravitational force,Electrostatic force,Magnetic force,Tension in string,A,Physics,Gravitation,2021
The magnetic field at the center of a long solenoid is independent of:,Length of solenoid,Current in solenoid,Number of turns per unit length,Permeability of core,A,Physics,Magnetism,2021
"In resonance condition for an LCR circuit, the impedance is:",Maximum,Minimum,Zero,Infinite,B,Physics,Alternating Current,2021
The electric field inside a conductor is zero in static condition because:,The charges are at rest,The electric field inside is canceled by the external field,Electrons move freely,The charges move to the surface,D,Physics,Electrostatics,2021
A tuning fork produces a sound wave of frequency 512 Hz. What is its time period?,1/256 s,1/128 s,1/512 s,1/1024 s,C,Physics,Waves,2021
The time period of a simple pendulum depends on:,Amplitude,Length,Mass,Both B and C,B,Physics,Oscillations,2021
"If the kinetic energy of an electron is quadrupled, its de Broglie wavelength becomes:",Halved,Doubled,Unchanged,Quadrupled,A,Physics,Modern Physics,2021
A light ray passes from air into glass. Which quantity remains unchanged?,Wavelength,Frequency,Speed,Amplitude,B,Physics,Wave Optics,2021
The slope of position-time graph represents:,Velocity,Acceleration,Displacement,Force,A,Physics,Kinematics,2021
The drift velocity of electrons increases when:,Length of wire increases,Cross-sectional area increases,Potential difference increases,Temperature increases,C,Physics,Current Electricity,2021
A proton and an alpha particle are accelerated by the same potential. The ratio of their velocities will be:,2:1,1:2,1:1,1:√2,A,Physics,Modern Physics,2021
"In Young's double slit experiment, the fringe width will increase if:",The wavelength of light is increased,The separation between slits is decreased,The screen is moved further away,The slit width is increased,C,Physics,Wave Optics,2021
Which of the following is correct for a Carnot engine?,Efficiency depends on working substance,It violates 2nd law of thermodynamics,Efficiency depends only on temperature,Work is done without heat transfer,C,Physics,Thermodynamics,2021
The frequency of oscillation of a simple pendulum depends on:,Length of the string,Mass of the bob,Amplitude of oscillation,Acceleration due to gravity,D,Physics,Oscillations,2021
The refractive index of a material is given by:,The ratio of the speed of light in vacuum to the speed of light in the material,The ratio of the velocity of light in the material to the speed of light in vacuum,The ratio of the speed of sound in the material to the speed of sound in air,The reciprocal of the speed of light in the material,A,Physics,Ray Optics,2021
The SI unit of magnetic flux is:,Tesla,Ampere,Weber,Newton,C,Physics,Magnetism,2021
"In the Bohr model of the hydrogen atom, the electron moves in:",A spiral path,A circular orbit,A square path,An elliptical orbit,B,Physics,Modern Physics,2021
The SI unit of capacitance is:,Farad,Tesla,Ohm,Coulomb,A,Physics,Electrostatics,2021
The magnetic force on a charged particle moving in a magnetic field is maximum when:,The velocity is perpendicular to the magnetic field,The velocity is parallel to the magnetic field,The charge is zero,The charge is constant,A,Physics,Magnetism,2021
The power factor of an ideal inductor is:,1,0,0.5,Infinity,B,Physics,AC Circuits,2021
"For an ideal gas, the relation between pressure and volume is given by:",Boyle's Law,Charles' Law,Avogadro's Law,Gay-Lussac's Law,A,Physics,Thermodynamics,2021
Which of the following is the unit of capacitance?,Farad,Tesla,Ohm,Joule,A,Physics,Electrostatics,2021
The area under force vs displacement graph represents:,Acceleration,Power,Work,Impulse,C,Physics,"Work, Energy and Power",2021
"When two coherent light waves superimpose, the resulting intensity is maximum when the phase difference is:",0,π/2,π,2π,A,Physics,Wave Optics,2021
The potential energy of a system is minimum when two like charges are brought close because:,Attraction increases,Repulsion increases,Electric field cancels,Energy is minimized,B,Physics,Electrostatics,2021
The work done in stretching a wire is:,Proportional to the square of the extension,Inversely proportional to the extension,Directly proportional to the force applied,Directly proportional to the extension,A,Physics,Mechanical Properties of Solids,2021
The magnetic field at the center of a circular loop carrying current is proportional to:,Current,Square of the radius,Inverse of the radius,Both A and B,D,Physics,Magnetism,2021
"In a longitudinal wave, the displacement of particles is:",Perpendicular to the direction of wave propagation,Parallel to the direction of wave propagation,In a circular path,None of the above,B,Physics,Waves,2021
The potential energy of a system increases when two like charges are brought close because:,Attraction increases,Repulsion increases,Electric field cancels,Energy gets stored,B,Physics,Electrostatics,2021
The electric potential at a point is:,Directly proportional to the charge at that point,Inversely proportional to the distance from the point charge,The same for all points at the same distance from the charge,Zero inside a conductor,B,Physics,Electrostatics,2021
"In an electric circuit, the power dissipated in a resistor is proportional to:",Voltage,Current,Resistance,Current squared,D,Physics,Current Electricity,2021
Which physical quantity has the same unit as Planck’s constant?,Angular momentum,Force,Power,Energy,A,Physics,Modern Physics,2021
The power factor in a purely inductive AC circuit is:,1,Zero,0.5,Infinity,B,Physics,Alternating Current,2021
"A convex lens forms a real, inverted and same size image when the object is placed:",At F,At 2F,Between F and 2F,Beyond 2F,B,Physics,Ray Optics,2021
